separator	manama bh	abu dhabi ae	dubai ae	fujairah ae	ras al khaimah ae	umm al quwain ae	hawalli kw	jahra kw	nizwa om	sohar om	sur om	salalah om	khasab om	muscat om	doha qa	al rayyan qa	al madinah sa	abha sa	hail sa	jizan sa	najran sa	riyadh sa	tabuk sa	djibouti dj	mogadishu so	aden ye	al hudaydah ye	dhamar ye	ibb ye	sanaa ye	ramadi iq	baghdad iq	basra iq	duhok iq	erbil iq	karbala iq	amarah iq	samawah iq	najaf iq	mosul iq	sulaymaniyah iq	kut iq	amman jo	aqaba jo	salt jo	zarqa jo	halba lb	beirut lb	tripoli lb	sidon lb	gaza ps	aleppo sy	damascus sy	homs sy	latakia sy	algiers dz	annaba dz	bechar dz	bordj bou arreridj dz	bouira dz	jijel dz	khenchela dz	oran dz	ouargla dz	benghazi ly	tobruk ly	bayda ly	misrata ly	tripoli ly	fes ma	marrakesh ma	oujda ma	rabat ma	agadir ma	nouakchott mr	ariana tn	kairouan tn	mahdia tn	sfax tn	sousse tn	tunis tn	alexandria eg	aswan eg	asyut eg	damanhur eg	beni suef eg	cairo eg	mansoura eg	faiyum eg	tanta eg	giza eg	ismailia eg	kafr el sheikh eg	luxor eg	minya eg	shibin el kom eg	el arish eg	port said eg	qena eg	hurghada eg	zagazig eg	girga eg	el tor eg	suez eg	khartoum sd	mosul iq	basra iq	buraidah sa	dammam sa	jeddah sa	makkah sa	kuwait city kw	meknes ma	tangier ma	jerusalem	as suwayda sy
manama bh	0.0	429.39035380530396	479.6995092715656	590.2186454779429	536.6435676788461	510.5253984069007	420.73205276538954	470.32678562455567	792.4603052260713	654.3265201676033	993.3958381116548	1082.3062206370441	566.4067063926947	840.1997730745628	140.59781145710915	133.6261380258882	1241.2150028199828	1215.7067502033717	909.4261630071983	1279.4858660096738	1042.009127832014	426.6718123444492	1302.440256870063	1789.6099551188486	2734.698231633059	1596.665673698673	1493.3417119348605	1431.172276578453	1496.7302160128152	1373.712820769086	1063.68045157983	987.2722072838862	545.8617819643514	1392.8778805883521	1269.4523704930177	951.2057041380058	707.4485766051251	764.8665089272347	883.015630328249	1328.0549794563285	1145.0542838251254	834.664227070224	1560.041500800278	1575.380211408464	1580.864553541646	1549.9901800611328	1668.6984320385375	1683.7846720822902	1683.847523377891	1676.124071237078	1683.4468685537934	1687.5094434008965	1595.8834114790473	1629.0157815465902	1747.7348718047724	4614.559325514614	4196.683390848069	5118.362989281419	4469.994013570138	4537.918786483207	4355.504622911903	4264.451665726572	4949.952113740809	4290.598647094444	3027.423047955538	2662.7285431306623	2877.6783032006238	3498.512340537255	3679.695725419419	5363.303855843049	5675.763430482688	5073.164272522798	5530.979300944444	5849.787765123894	6854.5416590864625	3987.1537591830815	3977.385852029826	3929.4401279965314	3950.180297428738	3929.906310912102	4036.7373463035055	2091.610514916269	1797.1486856354827	1931.2706960875894	2034.3119307620584	1967.866650813344	1944.582216455618	1948.418155379033	1995.0000976837587	1979.7758023616911	1946.0127126370235	1862.4218715997258	2005.9122527848717	1795.684454198946	1958.7943955020617	1974.4685836771143	1725.400589122281	1867.8561319717253	1784.1656697159158	1669.1549491574353	1928.3206508338494	1865.4141172327	1690.9664390378364	1819.2320009992773	2211.7317716586026	1328.0549794563285	545.8617819643514	660.3093772156634	53.27335457225392	1270.4465929398139	1217.4556427222287	434.0275564178095	5411.658491011316	5414.509732084322	1617.8540370164617	1535.7070186547971
abu dhabi ae	429.39035380530396	0.0	107.09112929291379	211.4797077096164	210.9820565591641	178.00125062349372	823.1198137682295	878.6467278049328	363.0974347302646	240.2046369981382	566.0313674813857	823.8146625231312	268.52366374736107	418.61232737496715	302.4756223090993	311.67265302546343	1576.1356057786597	1411.048951615374	1322.879681806802	1450.0618008694864	1151.9037108771201	776.4037385821456	1723.3518558134153	1856.668039514287	2664.140415803511	1623.4505713568658	1604.0595433062072	1508.930722111691	1567.2911240110247	1464.778564759839	1466.2462248479249	1381.6818495990883	932.0939180768617	1761.8677151197292	1636.9465066706161	1356.0896988278168	1083.6815944877994	1173.3772881652924	1291.8926706494171	1703.6524221617503	1501.0117485681499	1222.1193363112825	1989.3694824478325	2000.268491185451	2010.1807326278986	1979.2230295021166	2092.128482413187	2110.159554440844	2108.0517426835536	2103.4396806241375	2112.5194146425106	2100.251320025511	2022.3930095027674	2050.465996778409	2167.7203881423948	5043.941491907934	4626.036001721667	5544.721002655387	4899.359255221542	4967.297045587499	4784.885585105618	4693.475398030287	5379.264562421102	4715.387083788367	3454.2848056677985	3090.110025055794	3305.695354187449	3925.335290866933	4107.14643804526	5792.123555421903	6103.145217286238	5502.176504992885	5959.856625152047	6276.238786359014	7261.263838647176	4416.462488274175	4406.711321021684	4358.684809776912	4379.152673182995	4359.265871940856	4465.2044565043325	2518.880902158635	2179.1930211196786	2341.666142618617	2461.437818905446	2387.6164368473264	2369.311438462783	2375.8780350523366	2416.8695322694552	2406.5126073666866	2370.541344826653	2288.554243003224	2433.8492435160215	2194.182159583017	2375.3908519385436	2400.6244034400893	2153.9134783875766	2296.0725125026797	2186.6745702544126	2080.176731221901	2354.7624786283154	2269.5806571200396	2108.5434481741754	2244.3358167793053	2482.511553331879	1703.6524221617503	932.0939180768617	1067.2225488548918	482.66364169558733	1590.5638454111172	1528.91561763769	837.8342904981508	5840.437572530448	5843.875501650243	2047.2394304704253	1963.8800798478421
dubai ae	479.6995092715656	107.09112929291379	0.0	115.79993615688339	104.1557170259606	71.89158582887652	843.831880398956	901.3223021692677	336.31392734077474	176.81088727486585	522.0916399252707	899.2374654831646	162.29848465788268	363.58814410483063	369.8974666377501	379.19113468268404	1665.506221883866	1515.5293378971842	1386.7919470821087	1555.7969292615073	1258.8136841063351	857.5326585810412	1782.0693323175717	1963.1142639781917	2759.891013493447	1728.740495638072	1711.147287825615	1615.8407295987417	1674.0412446482226	1571.8393532453003	1478.6925171124722	1390.1691187673187	942.805223229939	1755.37712503883	1630.6578834401332	1370.7864887153853	1087.2268078137076	1192.024286231932	1309.6761996188116	1700.4790388390522	1491.1331877729367	1228.7285388275702	2030.1610539714163	2054.6905200697556	2050.809608662731	2019.1528317894013	2119.2865889924155	2141.7027591842516	2136.210721793957	2136.832234881919	2157.9814894110586	2116.851094845045	2054.350143684916	2075.3373855865157	2190.717161758948	5084.030131646425	4665.560373147721	5596.397484139446	4941.099121971058	5008.707187076332	4824.998613218247	4738.128129784521	5421.683359527181	4769.600285847666	3505.292154644483	3140.161035860357	3354.2062066691124	3976.3357166292194	4156.835714833891	5837.547115034532	6152.745960773519	5546.7412925820645	6005.00485697687	6327.692586403881	7330.747564704571	4455.457117884336	4449.193407866781	4401.9900594501905	4424.133997534634	4401.253478965846	4512.147697116255	2569.3381287825073	2257.9507245160253	2408.1973385228966	2512.201026206502	2447.449377315477	2423.862234054357	2426.002998430363	2474.6977904715986	2458.0161826348226	2425.3525783311643	2341.1088744098865	2482.8733499529167	2266.688279846139	2437.7899712853064	2453.107882965207	2201.5238313217533	2344.4514576943834	2257.329163657813	2146.2038435833765	2406.792045629746	2339.4781208568043	2170.1291362265997	2298.4109491629724	2582.7706757300466	1700.4790388390522	942.805223229939	1134.0356920370748	531.9128497747942	1682.6236177290716	1622.1871224541774	858.9193117347249	5886.0240305602265	5885.411112873629	2089.858495889548	1999.5864741667406
fujairah ae	590.2186454779429	211.4797077096164	115.79993615688339	0.0	80.61532316509421	87.6134286269402	937.3046268644838	995.5697184783771	271.54674084246676	95.6979295108119	431.200382095919	927.0757836798039	117.27325434981368	268.5350330827897	484.9721715812963	494.2385609081601	1780.9825823427411	1621.505670357802	1499.0678036831034	1658.8808787304088	1356.6939031987204	973.2968947787108	1892.2438830661765	2049.3094520211002	2814.253912446343	1809.5706887460299	1805.616054005861	1706.0433971309042	1762.6793453868356	1664.385060163872	1563.4328250487958	1472.33517327307	1028.9971924884371	1824.3263441310407	1700.1808743536274	1457.4956424336262	1167.2201830987656	1282.1351561035824	1398.7310274719578	1772.3946912272654	1558.0994160658847	1310.2114578488902	2131.7806206795553	2162.9381023118367	2152.3192397177086	2120.313960216884	2212.705692154136	2237.848558581473	2230.2482175415407	2234.105542000295	2261.9388309322835	2203.1077244854255	2150.856129385852	2167.330026560576	2281.301739687121	5183.836932835015	4765.136031896533	5702.3736686290795	5041.892555412263	5109.296804997541	4924.879240299415	4840.595979346441	5522.765787101961	4876.9110806915705	3611.349199461082	3245.87184654796	3459.0774486291507	4082.2663165461927	4262.075544006241	5940.234889304676	6257.604670129728	5649.004662710765	6107.515747870684	6433.466993852693	7443.811983218796	4554.777375367358	4550.524513068738	4503.793531560112	4526.85259330258	4502.317923548543	4615.895592794944	2675.490627435321	2373.345179563658	2520.8078189441167	2618.528302009762	2557.7085006026327	2531.9569291826624	2532.074811355503	2584.152075452449	2564.719197681283	2533.5599938564324	2448.358311610202	2588.3824211921356	2380.951149258354	2549.007670375451	2560.264800811901	2306.5234749197825	2449.7296141441416	2371.144976579123	2258.7360453468477	2513.765699253793	2453.0783159071802	2281.1552299711366	2406.362063509479	2693.893776599363	1772.3946912272654	1028.9971924884371	1247.3715496374032	641.6449830868776	1797.6020921420914	1736.8399441308313	952.5034430663011	5988.793295429165	5985.903197667974	2192.3985407893397	2098.387275076709
ras al khaimah ae	536.6435676788461	210.9820565591641	104.1557170259606	80.61532316509421	0.0	33.726099835006565	866.1920935498688	924.7497994562221	351.95813518626454	176.079044761086	508.424947359366	984.3749922261442	58.72985288215137	345.5344430602161	444.13421391857366	453.145639229175	1748.5544126214902	1614.9169145168228	1445.6365649324548	1656.8132059989136	1361.8020338820024	935.1172874958961	1834.654674440421	2067.267751376748	2857.7321606673763	1832.5978048344814	1814.7315537977518	1719.9020187938238	1778.1712941968465	1675.7040224783177	1487.6536193229576	1395.7718103844736	954.3096831438511	1744.736516292156	1620.702506010581	1382.5121912841414	1090.2634519811095	1208.7463366039635	1324.7528530715445	1693.2754459066546	1478.3155801798778	1233.5606794752312	2064.6580973150717	2102.449357583826	2085.0985739214625	2052.836729570365	2140.282600301027	2166.919059983524	2158.141385381794	2163.8630195800292	2196.7535389879126	2127.5734893738827	2080.180006308415	2094.2154466917914	2207.4906556301535	5114.686014653234	4695.867097862385	5638.459885090503	4973.470938214784	5040.717133426394	4855.806871777951	4773.510847696965	5454.5144285059005	4814.5662331779295	3547.8109142085787	3182.0540160243277	3394.3664685217727	4018.5072158523094	4197.581258927101	5873.223855616633	6192.5163965689835	5581.669182491864	6040.343870684811	6369.278749547796	7390.562362278205	4485.356264662403	4482.566984237956	4436.211565189928	4460.01496213861	4434.162417569941	4549.94044667578	2612.311612946267	2329.5239019082373	2467.32905437826	2555.559612697781	2499.8704849868236	2471.0919005379774	2468.8649067148854	2525.094114388158	2502.1867630486317	2472.8371590421093	2386.5017246436846	2524.5616723827175	2331.9693743437383	2492.771068791248	2498.2525571518963	2242.3117439921043	2385.7308374482363	2320.773301291328	2205.2160661732937	2451.5610523878695	2402.0574990786918	2224.7124648252097	2345.3726752619223	2676.8176150488425	1693.2754459066546	954.3096831438511	1196.7720813498079	586.3977349188319	1768.3897579501615	1709.269428659798	881.4143815686626	5921.846415384122	5917.172963274979	2125.999133058758	2029.2060302678458
umm al quwain ae	510.5253984069007	178.00125062349372	71.89158582887652	87.6134286269402	33.726099835006565	0.0	849.9611287886927	908.2899437374783	351.7133630364981	177.6547344816786	518.5900085403275	961.8559258883605	90.56705177789989	356.05613389313385	413.984487431998	423.07435975605193	1717.3578094335592	1581.2341346395087	1419.9359582835737	1623.0876168601926	1328.2481552645384	904.8475002368975	1810.675304726544	2034.6097291511521	2829.7297665893984	1800.5881297327621	1781.351866663504	1686.8795887404783	1745.2914849073163	1642.4826364436249	1475.963372983023	1385.0598824447995	941.4116996862019	1739.322026975887	1615.0145681048523	1369.9220610580812	1080.1088944759458	1194.5377557507152	1311.1177953149297	1686.7356354812855	1473.483347800451	1222.9756624887593	2045.6676051771592	2079.8098549573324	2066.171820312348	2034.0734968464549	2125.2146089090807	2150.6186047338647	2142.802015833893	2147.0341524288283	2176.5928502755405	2115.584083337166	2063.679541231619	2079.763409836514	2193.694645564017	5097.112016007737	4678.3721539373455	5617.671989797748	4955.395581311821	5022.749152619259	4838.17574648448	4754.564495252853	5436.329599198129	4792.940637371148	3526.783139679111	3161.16675268237	3373.980675294249	3997.6096650156387	4177.091602990637	5854.242577836134	6172.389138929367	5562.889732320661	6021.4650160253095	6348.648962617492	7365.049773122391	4467.966939166258	4464.1777230995685	4417.577255010883	4440.909792939907	4415.903330802367	4530.299475947815	2591.058917874065	2300.8999331531777	2441.767970274117	2534.1929545141356	2476.055297814871	2448.658805855401	2447.621480381104	2501.819301860276	2480.5896921822546	2450.335528235853	2364.5531692454015	2503.650229646566	2304.853209773633	2468.2834515411505	2476.38901693781	2221.600557594533	2364.909902915248	2294.1088490842535	2179.6493434075273	2429.79276665936	2375.618366730272	2200.2893686195484	2322.9922091757026	2643.7205083177582	1686.7356354812855	941.4116996862019	1170.0072143147281	560.9973929423595	1736.6627278450492	1677.2900590257507	865.1662620025594	5902.825529572604	5899.314677092208	2106.5596511521426	2011.5966730551638
hawalli kw	420.73205276538954	823.1198137682295	843.831880398956	937.3046268644838	866.1920935498688	849.9611287886927	0.0	58.852367997590285	1177.2230041510452	1019.0101468468536	1365.0306031950458	1493.4857367419118	873.8980598104303	1204.1365064094732	560.3431147737526	553.9318907482808	1190.6969987910575	1356.0073376886796	700.1234018764816	1439.4598760855133	1278.6053728276395	537.2751290512748	1028.8210082692092	2012.024514973835	3034.312761982446	1858.261345345027	1693.7015351081068	1662.7023889324882	1730.208848159188	1598.1210895395136	645.4996769752124	566.6957185714954	133.3001442264633	975.4179579399104	853.1540931009345	534.0493416462865	295.0766254245246	350.25828305946385	468.79949669086625	908.9576133926605	735.5445139927172	414.6166848388979	1203.825770104801	1271.5447212381503	1223.9410189992936	1191.0629895222992	1275.8219016608434	1300.7739070545574	1293.1030865964074	1297.7392528000153	1341.9434915071108	1277.1315136621165	1213.9887523001255	1231.5075575653807	1347.0931756961136	4248.9816466854745	3830.0986533030846	4782.800461067788	4108.480261281662	4175.542731700691	3990.1799847134544	3910.5652984245025	4589.67340154037	3964.6540084575445	2695.392034772553	2329.334956202144	2538.2570508132358	3164.6552362093325	3341.2276833600918	5010.165071104291	5333.443215270336	4718.114835245991	5176.9817070834	5512.48354107304	6577.136637046291	3619.495458527697	3618.2553382023398	3572.490746157058	3597.638838579807	3569.582158720379	3689.4429890581905	1763.8024222342076	1619.8939983254484	1676.7550347099361	1708.2090361066573	1680.0071842553668	1634.3623853101583	1620.878678956739	1697.786567684455	1657.0636172404847	1636.8392343164535	1545.3407263159033	1673.7513509118112	1578.7396433905747	1683.0479908707748	1655.5934269045993	1391.1846471075721	1534.7877344116764	1556.7470634211088	1419.8473682348904	1608.2684542679428	1630.9634205837374	1417.842220915793	1509.015937698333	2205.095256599403	908.9576133926605	133.3001442264633	525.8490619777057	374.94851600422413	1242.441669931414	1208.4083511160356	15.224182207737732	5058.891346742161	5051.779725635559	1267.1852423638616	1164.0371150237481
jahra kw	470.32678562455567	878.6467278049328	901.3223021692677	995.5697184783771	924.7497994562221	908.2899437374783	58.852367997590285	0.0	1234.0803975258696	1076.786385508485	1422.820567997192	1535.5975131131377	932.7141125849784	1262.1382162972327	610.6919040989411	603.9313004925064	1160.8503105634722	1350.4229047195986	655.7899375468327	1436.0776641140244	1287.7737110609107	544.6946652708376	974.950233219975	2015.242742202769	3048.446587953905	1868.2688689373417	1694.8028429471717	1668.7207919528503	1736.2240598882247	1603.3586295477428	593.4429873166189	518.0923769882567	113.40522552525147	933.3839500389429	812.4637480942638	481.2023561840964	263.3891920372969	295.70882293238816	414.30135216575667	865.2337457827539	700.2129589536618	370.952665757849	1145.0275687347607	1214.8532624219288	1165.1306743559264	1132.2362424362254	1218.021091255025	1242.341206865868	1235.1368036157578	1239.1213980260043	1283.4211399819917	1222.0017043493167	1155.478345709177	1174.1429533468424	1290.1668495478164	4190.263621105785	3771.389393639742	4724.066689482402	4049.6918630988152	4116.767742969951	3931.450258403632	3851.7153924170725	4530.87745552993	3906.147236951217	2636.8382863892753	2270.7934768623663	2479.5595774070543	3106.0192384945144	3282.496848787472	4951.317729797193	5274.62144353256	4659.274349669948	5118.138706687314	5453.710901978611	6520.275316326799	3560.802329091976	3559.431717118766	3513.650698513581	3538.7864719621816	3510.769141237606	3630.6054970277937	1705.5620193113577	1573.1863109590674	1622.9475402937142	1650.052329747659	1623.8340433749074	1576.9502911258755	1562.7050072634875	1641.0321097149524	1599.0634879924355	1579.4787007608081	1487.6537366854825	1615.393751667155	1528.3123029302988	1627.6716450318136	1597.7577208275063	1332.875640300098	1476.4524994560381	1505.4242463727994	1366.9340479809441	1550.4071943110573	1578.8739315574994	1363.0322752048692	1451.6993707276936	2175.951770475127	865.2337457827539	113.40522552525147	496.75336735029066	422.53868128303975	1215.0445027664082	1183.7629070910523	43.706709957977864	5000.042980335268	4993.026600058204	1208.463999617789	1105.2330721255357
nizwa om	792.4603052260713	363.0974347302646	336.31392734077474	271.54674084246676	351.95813518626454	351.7133630364981	1177.2230041510452	1234.0803975258696	0.0	175.8861034179007	209.17379291223915	746.6504034861298	382.4463601798743	113.457770363398	663.6795613376338	672.7165303036513	1891.7060143372144	1650.3036635845226	1679.729369976231	1671.968075842781	1352.2318099829506	1118.0300789026705	2082.761121278764	1988.9164104150755	2660.558532193442	1734.8052703703781	1778.6173425367838	1664.4553591807353	1714.579205899588	1632.1919259069753	1814.6525567732324	1726.4481398152814	1278.738987610982	2089.21622625157	1964.6832584961373	1706.343937855812	1423.4930017274053	1526.5145017432894	1644.4943075319002	2035.3805802148236	1823.9900753855554	1565.0407324542891	2352.3102338058284	2361.419074062517	2373.1071729232567	2342.0641248167217	2450.9389456015615	2470.9017440438092	2467.35456095194	2464.8273348954526	2475.567616020268	2452.2639007343964	2383.263263755805	2408.045524149956	2524.2305870495256	5406.95053692226	4988.985432168442	5906.130340585356	5262.449918985102	5330.379086837085	5147.8918632674395	5056.48217922819	5742.361466753573	5075.84727747931	3816.16778098465	3452.3194329659627	3668.229961928757	4287.151693279748	4469.320359738545	6155.0263343855395	6465.189067260059	5865.174065504602	6322.787358911725	6637.667819901893	7608.063640763506	4779.347054697219	4769.808755225191	4721.770753743381	4742.139278277006	4722.358637097835	4827.939197310597	2881.096885201315	2515.974003091929	2694.5325252388184	2823.588609730197	2745.775145309883	2730.2266054366232	2738.2087347665047	2776.195611343894	2768.473965014543	2731.348384172817	2650.231937965922	2796.4055380445925	2540.5109384690854	2731.773849211668	2762.285997686351	2516.7514799622854	2658.771173062919	2535.3323945906523	2433.8691738567873	2716.5830516340184	2618.9857090074765	2465.7767905749015	2605.495062822727	2745.827441626302	2035.3805802148236	1278.738987610982	1422.7168177194264	845.7314787303278	1897.723994084841	1832.4419610094353	1192.2045600142412	6203.31897725437	6206.966043353334	2410.3129478084184	2325.902714271717
sohar om	654.3265201676033	240.2046369981382	176.81088727486585	95.6979295108119	176.079044761086	177.6547344816786	1019.0101468468536	1076.786385508485	175.8861034179007	0.0	346.03420791357007	856.5330257957105	209.31708781619673	186.79875105164413	537.5104135086683	546.8253117149619	1814.2637055918055	1624.5154888359698	1558.150199643431	1656.4043435772942	1346.846454688493	1016.5944837986169	1955.7072823328692	2022.130494517982	2756.4016745976037	1776.9226072965805	1789.4485442104037	1684.5236528977002	1739.0674790227151	1646.001080116601	1650.3972490011247	1560.4388529231114	1114.974462568693	1916.968627125264	1792.644694737146	1543.4408794801027	1256.0639934642418	1366.1298607020963	1483.3829841449528	1864.2365839501122	1651.1313215284847	1398.532002129835	2206.966638810839	2229.703623867442	2227.6173792864975	2195.9637057282475	2294.7914146533385	2317.9312050076715	2311.9019994600026	2313.2833248792754	2334.5555426833807	2289.4719038357366	2230.6483357327747	2250.36746525202	2365.2440204573245	5260.821414395089	4842.338059171969	5772.28691944537	5117.909701656945	5185.517852597982	5001.792181484483	4914.850946753052	5598.4891890668905	4944.911455562997	3681.2210378062305	3316.2323795087627	3530.521278455102	4152.29111052244	4333.017628576854	6014.236293921087	6328.997190431779	5723.478220117519	6181.7134664782825	6503.642286356958	7499.623322058017	4632.2171639456965	4625.9944374576025	4578.769319842709	4600.832324393379	4578.0614193799265	4688.68798119248	2745.2912132727715	2419.363474250113	2578.532599846286	2688.0927706558264	2620.8333722859243	2598.9065086508003	2601.998113989434	2648.788968336308	2633.760425628911	2600.3289373511375	2516.6180927708633	2659.051957945287	2433.26656414416	2610.137653102906	2628.648154595994	2377.8688637597174	2520.7093755432343	2425.176819979711	2316.759517499917	2582.4227804998172	2507.827553739395	2342.7711525596687	2473.5567933923962	2707.269684853635	1864.2365839501122	1114.974462568693	1303.7840480638977	706.962178540295	1827.0061645547962	1764.4380811607246	1034.1446667475625	6062.7026657864335	6062.221570818914	2266.6154324662843	2176.254106455156
