dialect_city_id	dialect_country_id	dialect_region_id
manama	bh	gulf
abu_dhabi	ae	gulf
dubai	ae	gulf
fujairah	ae	gulf
ras_al_khaimah	ae	gulf
umm_al_quwain	ae	gulf
hawalli	kw	gulf
jahra	kw	gulf
nizwa	om	gulf
sohar	om	gulf
sur	om	gulf
salalah	om	gulf
khasab	om	gulf
muscat	om	gulf
doha	qa	gulf
al_rayyan	qa	gulf
al_madinah	sa	gulf
abha	sa	gulf
hail	sa	gulf
jizan	sa	gulf
najran	sa	gulf
riyadh	sa	gulf
tabuk	sa	gulf
djibouti	dj	gulf_aden
mogadishu	so	gulf_aden
aden	ye	gulf_aden
al_hudaydah	ye	gulf_aden
dhamar	ye	gulf_aden
ibb	ye	gulf_aden
sanaa	ye	gulf_aden
ramadi	iq	gulf
baghdad	iq	gulf
basra	iq	gulf
duhok	iq	gulf
erbil	iq	gulf
karbala	iq	gulf
amarah	iq	gulf
samawah	iq	gulf
najaf	iq	gulf
mosul	iq	gulf
sulaymaniyah	iq	gulf
kut	iq	gulf
amman	jo	levant
aqaba	jo	levant
salt	jo	levant
zarqa	jo	levant
halba	lb	levant
beirut	lb	levant
tripoli	lb	levant
sidon	lb	levant
gaza	ps	levant
jerusalem	ps	levant
al_suwayda	sy	levant
aleppo	sy	levant
damascus	sy	levant
homs	sy	levant
latakia	sy	levant
algiers	dz	maghreb
annaba	dz	maghreb
bechar	dz	maghreb
bordj_bou_arreridj	dz	maghreb
bouira	dz	maghreb
jijel	dz	maghreb
khenchela	dz	maghreb
oran	dz	maghreb
ouargla	dz	maghreb
benghazi	ly	maghreb
tobruk	ly	maghreb
bayda	ly	maghreb
misrata	ly	maghreb
tripoli	ly	maghreb
fes	ma	maghreb
marrakesh	ma	maghreb
oujda	ma	maghreb
rabat	ma	maghreb
agadir	ma	maghreb
nouakchott	mr	maghreb
ariana	tn	maghreb
kairouan	tn	maghreb
mahdia	tn	maghreb
sfax	tn	maghreb
sousse	tn	maghreb
tunis	tn	maghreb
msa	msa	msa
alexandria	eg	nile_basin
aswan	eg	nile_basin
asyut	eg	nile_basin
damanhur	eg	nile_basin
beni_suef	eg	nile_basin
cairo	eg	nile_basin
mansoura	eg	nile_basin
faiyum	eg	nile_basin
tanta	eg	nile_basin
giza	eg	nile_basin
ismailia	eg	nile_basin
kafr_el_sheikh	eg	nile_basin
luxor	eg	nile_basin
minya	eg	nile_basin
shibin_el_kom	eg	nile_basin
el_arish	eg	nile_basin
port_said	eg	nile_basin
qena	eg	nile_basin
hurghada	eg	nile_basin
zagazig	eg	nile_basin
girga	eg	nile_basin
el_tor	eg	nile_basin
suez	eg	nile_basin
khartoum	sd	nile_basin
buraidah	sa	gulf
dammam	sa	gulf
jeddah	sa	gulf
meknes	ma	maghreb
tangier	ma	maghreb
